325,chicago
326,frijid pink
327,white plains
328,the brotherhood of man
329,mark lindsay
330,james taylor
331,gene chandler
332,santana
333,ronnie dyson
334,the spinners
335,bobbi martin
336,mountain
337,ike  tina turner
338,joe cocker
339,tee set
340,christie
341,100 proof aged in soul
342,the ides of march
343,the pipkins
344,robin mcnamara
345,pacific gas  electric
346,crosby stills nash  young
347,the new seekers
348,bb king
349,rod stewart
350,carole king
351,the osmonds
352,bee gees
353,donny osmond
354,john denver
355,tony orlando and dawn
356,janis joplin
357,al green
358,honey cone
359,the undisputed truth
360,cornelius brothers  sister rose
361,jean knight
362,lee michaels
363,joan baez
364,paul  linda mccartney
365,bill withers
366,five man electrical band
367,murray head  the trindad singers
368,the free movement
369,jerry reed
370,george harrison
371,ocean
372,daddy dewdrop
373,sammi smith
374,gordon lightfoot
375,lynn anderson
376,hamilton joe frank  reynolds
377,ringo starr
378,nitty gritty dirt band
379,the fuzz
380,the dramatics
381,carly simon
382,helen reddy
383,the partridge family
384,tommy james
385,the bells
386,the stampeders
387,lobo
388,paul mccartney
389,brewer  shipley
390,8th day
391,delaney  bonnie  friends
392,freddie hart
393,the honey cone
394,mac and katie kissoon
395,andy williams
396,cat stevens
397,the beginning of the end
398,olivia newtonjohn
399,king floyd
400,matthews southern comfort
401,judy collins
402,dave edmunds
403,denise lasalle
404,the buoys
405,isaac hayes
406,gladys knight  the pips
407,paul stookey
408,richie havens
409,wadsworth mansion
410,brenda  the tabulations
411,perry como
412,roberta flack
413,gilbert osullivan
414,don mclean
415,mac davis
416,wayne newton
417,looking glass
418,the chilites
419,gallery
420,chuck berry
421,luther ingram
422,neil young
423,the stylistics
424,the staple singers
425,michael jackson
426,robert john
427,billy preston
428,war
429,mouth  macneal
430,america
431,hot butter
432,the main ingredient
433,climax
434,raspberries
435,the ojays
436,jonathan edwards
437,mel and tim
438,elton john
439,daniel boone
440,dennis coffey
441,arlo guthrie
442,ricky nelson
443,betty wright
444,argent
445,the chakachas
446,donna fargo
447,t rex
448,paul simon
449,roberta flack  donny hathaway
450,derek and the dominos
451,dr hook  the medicine show
452,jim croce
