114,Rowing,Rowing Men's Coxed Pairs
115,Athletics,Athletics Men's 400 metres Hurdles
116,Athletics,Athletics Men's 400 metres
117,Athletics,Athletics Men's Hammer Throw
118,Weightlifting,Weightlifting Men's Featherweight
119,Athletics,Athletics Men's 800 metres
120,Hockey,Hockey Men's Hockey
121,Alpine Skiing,Alpine Skiing Women's Slalom
122,Rowing,Rowing Women's Single Sculls
123,Swimming,Swimming Men's 50 metres Freestyle
124,Weightlifting,Weightlifting Women's Featherweight
125,Water Polo,Water Polo Women's Water Polo
126,Figure Skating,Figure Skating Men's Singles
127,Weightlifting,Weightlifting Men's Heavyweight
128,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual"
129,Equestrianism,"Equestrianism Mixed Three-Day Event, Team"
130,Figure Skating,Figure Skating Mixed Team
131,Sailing,Sailing Women's Three Person Keelboat
132,Cycling,"Cycling Women's Road Race, Individual"
133,Golf,Golf Women's Individual
134,Softball,Softball Women's Softball
135,Archery,Archery Women's Individual
136,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman"
137,Volleyball,Volleyball Men's Volleyball
138,Taekwondo,Taekwondo Women's Heavyweight
139,Synchronized Swimming,Synchronized Swimming Women's Duet
140,Synchronized Swimming,Synchronized Swimming Women's Team
141,Taekwondo,Taekwondo Women's Featherweight
142,Athletics,Athletics Men's Marathon
143,Athletics,Athletics Men's 4 x 400 metres Relay
144,Athletics,"Athletics Men's 10,000 metres"
145,Athletics,"Athletics Women's 3,000 metres"
146,Diving,Diving Women's Platform
147,Shooting,"Shooting Men's Air Rifle, 10 metres"
148,Athletics,Athletics Men's 200 metres
149,Weightlifting,Weightlifting Men's Flyweight
150,Swimming,Swimming Men's 100 metres Backstroke
151,Weightlifting,Weightlifting Men's Light-Heavyweight
152,Wrestling,"Wrestling Men's Lightweight, Greco-Roman"
153,Fencing,"Fencing Men's Sabre, Individual"
154,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman"
155,Shooting,"Shooting Men's Free Pistol, 50 metres"
156,Shooting,"Shooting Men's Air Pistol, 10 metres"
157,Rowing,Rowing Men's Coxless Fours
158,Boxing,Boxing Men's Light-Flyweight
159,Boxing,Boxing Men's Super-Heavyweight
160,Wrestling,"Wrestling Men's Flyweight, Greco-Roman"
161,Shooting,"Shooting Women's Air Rifle, 10 metres"
162,Weightlifting,Weightlifting Men's Middle-Heavyweight
163,Athletics,Athletics Men's Javelin Throw
164,Volleyball,Volleyball Women's Volleyball
165,Wrestling,"Wrestling Men's Welterweight, Greco-Roman"
166,Wrestling,"Wrestling Men's Middleweight, Greco-Roman"
167,Athletics,"Athletics Men's 3,000 metres Steeplechase"
168,Wrestling,"Wrestling Men's Middleweight, Freestyle"
169,Swimming,Swimming Women's 100 metres Backstroke
170,Swimming,Swimming Women's 200 metres Backstroke
171,Swimming,Swimming Women's 4 x 100 metres Medley Relay
172,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle"
173,Modern Pentathlon,Modern Pentathlon Men's Team
174,Boxing,Boxing Men's Bantamweight
175,Athletics,Athletics Women's 200 metres
176,Table Tennis,Table Tennis Women's Singles
177,Table Tennis,Table Tennis Women's Doubles
178,Shooting,Shooting Men's Skeet
179,Swimming,Swimming Women's 50 metres Freestyle
180,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
181,Athletics,Athletics Men's Triple Jump
182,Weightlifting,Weightlifting Women's Lightweight
183,Athletics,Athletics Women's Long Jump
184,Fencing,"Fencing Women's epee, Individual"
185,Swimming,Swimming Men's 200 metres Freestyle
186,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
187,Swimming,Swimming Men's 200 metres Backstroke
188,Swimming,Swimming Men's 200 metres Individual Medley
189,Swimming,Swimming Men's 400 metres Individual Medley
190,Badminton,Badminton Women's Singles
191,Boxing,Boxing Men's Light-Middleweight
192,Tennis,Tennis Men's Singles
193,Wrestling,"Wrestling Men's Bantamweight, Freestyle"
194,Wrestling,"Wrestling Men's Flyweight, Freestyle"
195,Athletics,"Athletics Women's 5,000 metres"
196,Weightlifting,Weightlifting Women's Light-Heavyweight
197,Weightlifting,Weightlifting Women's Heavyweight
198,Athletics,Athletics Men's Discus Throw
199,Taekwondo,Taekwondo Men's Featherweight
200,Taekwondo,Taekwondo Men's Welterweight
201,Judo,Judo Men's Heavyweight
202,Cycling,Cycling Men's Sprint
203,Bobsleigh,Bobsleigh Men's Two
204,Wrestling,"Wrestling Men's Lightweight, Freestyle"
205,Nordic Combined,Nordic Combined Men's Team
206,Nordic Combined,Nordic Combined Men's Individual
207,Baseball,Baseball Men's Baseball
208,Rowing,Rowing Men's Coxed Fours
209,Cycling,Cycling Men's 100 kilometres Team Time Trial
210,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
211,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning"
212,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs"
213,Gymnastics,Gymnastics Women's Individual All-Around
214,Gymnastics,Gymnastics Women's Team All-Around
215,Gymnastics,Gymnastics Women's Floor Exercise
216,Gymnastics,Gymnastics Women's Horse Vault
217,Gymnastics,Gymnastics Women's Uneven Bars
218,Gymnastics,Gymnastics Women's Balance Beam
219,Diving,Diving Women's Springboard
220,Diving,Diving Women's Synchronized Springboard
221,Athletics,"Athletics Women's 10,000 metres"
222,Sailing,Sailing Mixed 7 metres
223,Judo,Judo Women's Half-Middleweight
224,Athletics,Athletics Men's Decathlon
225,Biathlon,Biathlon Men's 10 kilometres Sprint
226,Biathlon,Biathlon Men's 20 kilometres
227,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay
228,Freestyle Skiing,Freestyle Skiing Men's Moguls
229,Wrestling,"Wrestling Men's Middleweight A, Greco-Roman"
230,Athletics,Athletics Women's Discus Throw
